//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
//SKILL SUM
15          19      0       1     0       0      0        0
15          20      0       1     0       0      0        0
15          21      0       1     0       0      0        0
15          22      0       1     0       0      0        0
15          23      0       1     0       0      0        0
15          24      0       1     0       0      0        0
15          26      0       1     0       0      0        0
15          27      0       1     0       0      0        0
15          42      0       1     0       0      0        0
15          43      0       1     0       0      0        0
15          44      0       1     0       0      0        0
15          45      0       1     0       0      0        0
15          46      0       1     0       0      0        0


//Skill RF

15          30      0       1     0       0      0        0
15          31      0       1     0       0      0        0
15          32      0       1     0       0      0        0
15          33      0       1     0       0      0        0
15          34      0       1     0       0      0        0
15          35      0       1     0       0      0        0
15          36      0       1     0       0      0        0


//Skill DL
12	    21	    0	    0	   0	  1	  0	0 //
12	    22	    0	    0	   0	  1	  0	0 //
12	    23	    0	    0	   0	  1	  0	0 //
12	    24	    0	    0	   0	  1	  0	0 //

//Skill GL
12	    271	    0	    0	   0	  1	  0	0 //
12	    272	    0	    0	   0	  1	  0	0 //
12	    273	    0	    0	   0	  1	  0	0 //
12	    274	    0	    0	   0	  1	  0	0 //
12	    275	    0	    0	   0	  1	  0	0 //
12	    276	    0	    0	   0	  1	  0	0 //
12	    277	    0	    0	   0	  1	  0	0 //


end

