00:42:40 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
00:58:13 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
01:08:34 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
01:55:50 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
17:53:30 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
17:54:11 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
17:54:47 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
18:04:37 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
22:43:53 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
22:49:15 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
22:50:07 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
22:51:53 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
22:52:24 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
23:23:36 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
23:24:13 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
23:58:49 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.1, GameServerCode: 20)
