00:17:57 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:19:44 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:21:26 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:22:58 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:28:35 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:30:31 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:35:04 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:35:55 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:36:57 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:39:40 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:42:08 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:44:14 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:50:05 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:51:03 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
00:57:13 [AccountInfo] Account disconnected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
22:59:13 [AccountInfo] Account connected (Account: thaihavn, IpAddress: 192.168.1.8, GameServerCode: 20)
